iter	Logloss
0	0.687729044
1	0.6826054824
2	0.6778908613
3	0.6735613103
4	0.6695080067
5	0.6656762744
6	0.6620107863
7	0.6586320677
8	0.6553487459
9	0.6522939823
10	0.6494680108
11	0.6468241733
12	0.6443818966
13	0.6421120575
14	0.6399773611
15	0.6378929437
16	0.6360092631
17	0.634212426
18	0.6325682708
19	0.6309229075
20	0.6294681485
21	0.628060509
22	0.6267278496
23	0.6254835432
24	0.6242820996
25	0.6231713987
26	0.6221097435
27	0.6210977657
28	0.6201367708
29	0.6192727442
30	0.6184304584
31	0.6176699706
32	0.6168807601
33	0.6161663279
34	0.6154638393
35	0.614816236
36	0.6142064693
37	0.6136412215
38	0.6130635191
39	0.6125731202
40	0.6120630278
41	0.6115977641
42	0.6111347549
43	0.6107011431
44	0.6102918408
45	0.6099092589
46	0.6095774828
47	0.6092158587
48	0.6088783303
49	0.6085529847
50	0.6082576564
51	0.6079739472
52	0.6076724993
53	0.6073836445
54	0.6071254985
55	0.6068590125
56	0.606613384
57	0.6064058794
58	0.6062053287
59	0.6060116187
60	0.6058202608
61	0.6056121885
62	0.6054021508
63	0.6052201524
64	0.6050321513
65	0.6048585874
66	0.6046830027
67	0.6044850712
68	0.6043466278
69	0.6041996562
70	0.6040335766
71	0.6038945459
72	0.6037778957
73	0.6036553738
74	0.6035254812
75	0.6033755413
76	0.6032417678
77	0.6030958917
78	0.6029943165
79	0.6028817678
80	0.6027694413
81	0.6026504385
82	0.602542743
83	0.6024392189
84	0.6023033585
85	0.6021966861
86	0.6020902921
87	0.6020010346
88	0.6019211114
89	0.6018197021
90	0.6017526832
91	0.6016314492
92	0.601533669
93	0.6014479052
94	0.6013341521
95	0.6012565689
96	0.6011885421
97	0.6011116882
98	0.6010454173
99	0.6009375462
100	0.6008131047
101	0.6007400115
102	0.6006743145
103	0.6006036883
104	0.6005288763
105	0.6004623512
106	0.600400199
107	0.6002871236
108	0.6002279341
109	0.6001738717
110	0.6001116431
111	0.6000267571
112	0.5999734561
113	0.5998926759
114	0.5998448528
115	0.5997922383
116	0.5997338465
117	0.5996837864
118	0.5996410225
119	0.5995633809
120	0.5995088717
121	0.5994622089
122	0.5994070581
123	0.5993608473
124	0.5993275556
125	0.5992875331
126	0.5992373521
127	0.5991763729
128	0.5991268171
129	0.5990855729
130	0.5990451024
131	0.5989980518
132	0.5988927959
133	0.5988270286
134	0.5987818126
135	0.5987449377
136	0.598699832
137	0.5986426905
138	0.5985805428
139	0.5985461827
140	0.5985192072
141	0.5984648669
142	0.5983915135
143	0.5983561931
144	0.5983254899
145	0.5982712448
146	0.5981818436
147	0.5981527991
148	0.5980911737
149	0.5980574247
150	0.5980275595
151	0.5979709831
152	0.5979431268
153	0.5979134568
154	0.5978759526
155	0.5978477937
156	0.5978240546
157	0.5977987703
158	0.5977442125
159	0.5977153267
160	0.5976904378
161	0.5976670417
162	0.5976341435
